2020-11-20 16:53:57,143 - DEBUG: [DeviceList]: dict_keys([])
2020-11-20 16:55:10,634 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:11,116 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:11,119 - INFO: [UDP]发送第21包数据到('192.168.1.104', 6009)
2020-11-20 16:55:11,121 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:11,604 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:11,610 - INFO: [UDP]发送第22包数据到('192.168.1.104', 6009)
2020-11-20 16:55:11,613 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:12,097 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:12,099 - INFO: [UDP]发送第23包数据到('192.168.1.104', 6009)
2020-11-20 16:55:12,101 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:12,584 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:12,587 - INFO: [UDP]发送第24包数据到('192.168.1.104', 6009)
2020-11-20 16:55:12,588 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:13,072 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:13,074 - INFO: [UDP]发送第25包数据到('192.168.1.104', 6009)
2020-11-20 16:55:13,075 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:13,557 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:13,559 - INFO: [UDP]发送第26包数据到('192.168.1.104', 6009)
2020-11-20 16:55:13,561 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:14,043 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:14,045 - INFO: [UDP]发送第27包数据到('192.168.1.104', 6009)
2020-11-20 16:55:14,046 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:14,528 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:14,530 - INFO: [UDP]发送第28包数据到('192.168.1.104', 6009)
2020-11-20 16:55:14,533 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:15,016 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:15,018 - INFO: [UDP]发送第29包数据到('192.168.1.104', 6009)
2020-11-20 16:55:15,020 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:15,504 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:15,509 - INFO: [UDP]发送第30包数据到('192.168.1.104', 6009)
2020-11-20 16:55:15,510 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:15,992 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:15,994 - INFO: [UDP]发送第31包数据到('192.168.1.104', 6009)
2020-11-20 16:55:15,995 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:16,478 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:16,480 - INFO: [UDP]发送第32包数据到('192.168.1.104', 6009)
2020-11-20 16:55:16,482 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:16,966 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:16,968 - INFO: [UDP]发送第33包数据到('192.168.1.104', 6009)
2020-11-20 16:55:16,970 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:17,431 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:17,456 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:17,460 - INFO: [UDP]发送第34包数据到('192.168.1.104', 6009)
2020-11-20 16:55:17,463 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:17,948 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:17,952 - INFO: [UDP]发送第35包数据到('192.168.1.104', 6009)
2020-11-20 16:55:17,955 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:18,441 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:18,444 - INFO: [UDP]发送第36包数据到('192.168.1.104', 6009)
2020-11-20 16:55:18,446 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:18,931 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:18,934 - INFO: [UDP]发送第37包数据到('192.168.1.104', 6009)
2020-11-20 16:55:18,936 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:19,419 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:19,424 - INFO: [UDP]发送第38包数据到('192.168.1.104', 6009)
2020-11-20 16:55:19,427 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:19,911 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:19,915 - INFO: [UDP]发送第39包数据到('192.168.1.104', 6009)
2020-11-20 16:55:19,918 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:20,403 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:20,406 - INFO: [UDP]发送第40包数据到('192.168.1.104', 6009)
2020-11-20 16:55:20,409 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:20,892 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:20,895 - INFO: [UDP]发送第41包数据到('192.168.1.104', 6009)
2020-11-20 16:55:20,897 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:21,380 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:21,383 - INFO: [UDP]发送第42包数据到('192.168.1.104', 6009)
2020-11-20 16:55:21,385 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:21,867 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:21,870 - INFO: [UDP]发送第43包数据到('192.168.1.104', 6009)
2020-11-20 16:55:21,872 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:22,355 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:22,358 - INFO: [UDP]发送第44包数据到('192.168.1.104', 6009)
2020-11-20 16:55:22,359 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:22,842 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:22,844 - INFO: [UDP]发送第45包数据到('192.168.1.104', 6009)
2020-11-20 16:55:22,846 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:23,329 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:23,331 - INFO: [UDP]发送第46包数据到('192.168.1.104', 6009)
2020-11-20 16:55:23,333 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:23,752 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:23,819 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:23,823 - INFO: [UDP]发送第47包数据到('192.168.1.104', 6009)
2020-11-20 16:55:23,827 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:24,312 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:24,316 - INFO: [UDP]发送第48包数据到('192.168.1.104', 6009)
2020-11-20 16:55:24,320 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:24,806 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:24,808 - INFO: [UDP]发送第49包数据到('192.168.1.104', 6009)
2020-11-20 16:55:24,811 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:25,295 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:25,299 - INFO: [UDP]发送第50包数据到('192.168.1.104', 6009)
2020-11-20 16:55:25,302 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:25,787 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:25,791 - INFO: [UDP]发送第51包数据到('192.168.1.104', 6009)
2020-11-20 16:55:25,794 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:26,278 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:26,285 - INFO: [UDP]发送第52包数据到('192.168.1.104', 6009)
2020-11-20 16:55:26,288 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:26,771 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:26,774 - INFO: [UDP]发送第53包数据到('192.168.1.104', 6009)
2020-11-20 16:55:26,776 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:27,261 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:27,263 - INFO: [UDP]发送第54包数据到('192.168.1.104', 6009)
2020-11-20 16:55:27,264 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:27,750 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:27,752 - INFO: [UDP]发送第55包数据到('192.168.1.104', 6009)
2020-11-20 16:55:27,754 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:28,237 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:28,239 - INFO: [UDP]发送第56包数据到('192.168.1.104', 6009)
2020-11-20 16:55:28,241 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:28,725 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:28,727 - INFO: [UDP]发送第57包数据到('192.168.1.104', 6009)
2020-11-20 16:55:28,729 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:29,212 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:29,214 - INFO: [UDP]发送第58包数据到('192.168.1.104', 6009)
2020-11-20 16:55:29,216 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:29,700 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:29,703 - INFO: [UDP]发送第59包数据到('192.168.1.104', 6009)
2020-11-20 16:55:29,706 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:30,190 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
